driverId,total_points,forename,surname,driver_name,projected_points,final_projected_points,projected_position
846,390,Lando,Norris,Lando Norris,47,437,1
830,366,Max,Verstappen,Max Verstappen,51,417,2
857,366,Oscar,Piastri,Oscar Piastri,30,396,3
847,294,George,Russell,George Russell,37,331,4
844,226,Charles,Leclerc,Charles Leclerc,21,247,5
1,152,Lewis,Hamilton,Lewis Hamilton,18,170,6
863,137,Kimi,Antonelli,Kimi Antonelli,19,156,7
848,73,Alexander,Albon,Alexander Albon,0,73,8
864,51,Isack,Hadjar,Isack Hadjar,8,59,9
832,48,Carlos,Sainz,Carlos Sainz,3,51,10
807,49,Nico,Hülkenberg,Nico Hülkenberg,0,49,11
4,40,Fernando,Alonso,Fernando Alonso,4,44,12
860,41,Oliver,Bearman,Oliver Bearman,0,41,13
859,36,Liam,Lawson,Liam Lawson,0,36,14
839,32,Esteban,Ocon,Esteban Ocon,0,32,15
840,32,Lance,Stroll,Lance Stroll,0,32,16
852,28,Yuki,Tsunoda,Yuki Tsunoda,0,28,17
842,22,Pierre,Gasly,Pierre Gasly,0,22,18
865,19,Gabriel,Bortoleto,Gabriel Bortoleto,0,19,19
861,0,Franco,Colapinto,Franco Colapinto,0,0,20
862,0,Jack,Doohan,Jack Doohan,0,0,21
