driver_name,total_points,predicted_points,projected_total,projected_position
Lando Norris,390,58,448,1
Oscar Piastri,366,31,397,2
Max Verstappen,366,25,391,3
George Russell,294,38,332,4
Charles Leclerc,226,30,256,5
Lewis Hamilton,152,14,166,6
Kimi Antonelli,137,27,164,7
Alexander Albon,73,0,73,8
Isack Hadjar,51,9,60,9
Nico Hülkenberg,49,0,49,10
Carlos Sainz,48,0,48,11
Oliver Bearman,41,4,45,12
Fernando Alonso,40,2,42,13
Liam Lawson,36,0,36,14
Esteban Ocon,32,0,32,15
Lance Stroll,32,0,32,16
Yuki Tsunoda,28,0,28,17
Pierre Gasly,22,0,22,18
Gabriel Bortoleto,19,0,19,19
Franco Colapinto,0,0,0,20
Jack Doohan,0,0,0,21
